Timestamp,Digit,Stake,Outcome,Profit
2025-05-24 17:25:57,6,500,loss,-500
2025-05-24 17:25:57,6,500,loss,-500
2025-05-24 17:31:03,9,500,pending,0
2025-05-24 17:31:03,9,500,pending,0
2025-05-24 17:31:04,9,500,pending,0
2025-05-24 17:31:11,9,500,loss,-500
2025-05-24 17:31:11,9,500,loss,-500
2025-05-24 17:31:12,9,500,loss,-500
2025-05-24 17:36:14,7,500,pending,0
2025-05-24 17:36:14,7,500,pending,0
2025-05-24 17:36:15,7,500,pending,0
2025-05-24 17:36:21,7,500,loss,-500
2025-05-24 17:36:22,7,500,loss,-500
2025-05-24 17:36:23,7,500,loss,-500
2025-05-24 17:41:31,9,500,pending,0
2025-05-24 17:41:31,9,500,pending,0
2025-05-24 17:41:33,9,500,pending,0
2025-05-24 17:41:39,9,500,loss,-500
2025-05-24 17:41:39,9,500,loss,-500
2025-05-24 17:41:39,9,500,loss,-500
2025-05-24 17:46:49,5,500,pending,0
2025-05-24 17:46:49,5,500,pending,0
2025-05-24 17:46:49,5,500,pending,0
2025-05-24 17:46:55,5,500,loss,-500
2025-05-24 17:46:56,5,500,loss,-500
2025-05-24 17:46:57,5,500,loss,-500
2025-05-24 17:52:04,4,500,pending,0
2025-05-24 17:52:04,4,500,pending,0
2025-05-24 17:52:05,4,500,pending,0
2025-05-24 17:52:11,4,500,loss,-500
2025-05-24 17:52:11,4,500,loss,-500
2025-05-24 17:52:13,4,500,loss,-500
2025-05-24 17:57:19,3,500,pending,0
2025-05-24 17:57:19,3,500,pending,0
2025-05-24 17:57:20,3,500,pending,0
2025-05-24 17:57:27,3,500,loss,-500
2025-05-24 17:57:27,3,500,loss,-500
2025-05-24 17:57:27,3,500,win,3948.05
2025-05-24 18:02:28,5,500,pending,0
2025-05-24 18:02:29,5,500,pending,0
2025-05-24 18:02:29,5,500,pending,0
2025-05-24 18:02:35,5,500,loss,-500
2025-05-24 18:02:36,5,500,loss,-500
2025-05-24 18:02:37,5,500,loss,-500
2025-05-24 18:02:38,1,500,pending,0
2025-05-24 18:02:38,1,500,pending,0
2025-05-24 18:02:39,1,500,pending,0
2025-05-24 18:02:45,1,500,loss,-500
2025-05-24 18:02:45,1,500,loss,-500
2025-05-24 18:02:47,1,500,loss,-500
